"question","answer","points","daily_double","played","game_id","category_id"
"What's the keyboard shortcut for opening up Spotlight on your computer?","⌘ + Spacebar", 1, false, false, 1, 1
"What's the shortcut for opening the Chrome Dev Tools?","⌘ + Option + I", 2, false, false, 1, 1
"How do you see all the remote repositories in a project with git?","git remote -v", 3, false, false, 1, 1
"You've run 'git commit' and forgotten a message and suddenly you're in VIM! How do you exit?",":wq or :x", 4, false, false, 1, 1
"With git, how do you run the interactive staging tool?","git add -p", 5, false, false, 1, 1
"What does this evaluate to? \n ( !true || !!false ) || ( !true && !!!true ) || ( false || true && false )","false", 1, false, false, 1, 2
"What does this evaluate to? \n [ [ 3, 4, 5 ][ 0 ], [ 'a','b','c', [ 'd','e','f' ][ 2 ]][ 5 ]][ 1 ]","undefined", 2, false, false, 1, 2
"What is the result of the variable 'movie' after this runs? \n var movie = 'Party Girl'; \n if ( movie.indexOf('P') > 0 ) { movie = movie.split(' ')[0]; } \n if ( movie.length > 5 ) { movie = movie.replace(' ', '-'); } \n movie.toLowerCase();","Party-Girl", 3, true, false, 1, 2
"What are the contents of 'result' after this runs? \n var result = []for ( var i = 0; i < 10; i++ ) { \n if ( i % 2 ) { \n ( i * 5 > 20 ) ? result.push(i + 10) : result.push(i - 1); \n } \n } \n console.log(result);","[ 0, 2, 15, 17, 19 ]", 4, false, false, 1, 2
"What is the value of dog1 and dog2 after this runs? \n var dog1 = { name: 'Grace' } \n var dog2 = { name: 'Ginger' } \n dog1 = dog2; \n dog2.name = 'Whiskey'; \n console.log(dog1, dog2);","{ name: 'Whiskey' } { name: 'Whiskey' }", 5, false, false, 1, 2
"Write a CSS selector, rule, and value that will change a link to red on hover","a:hover { color: red; }", 1, false, false, 1, 3
"How do you horizontally center a `display: block` element that has a width and height.","margin: auto", 2, false, false, 1, 3
"Write a CSS selector, rule, and value that will change a div to the height of the browser's height.","div { height: 100vh; }", 3, false, false, 1, 3
"What are the five CSS position values?","static, absolute, fixed, relative, sticky", 4, false, false, 1, 3
"What is the 'rem' unit based off of?","The font-size in the html", 5, false, false, 1, 3
"What does the status code 200 stand for?","OK", 1, false, false, 1, 4
"What does the status code 404 stand for?","NOT FOUND", 2, false, false, 1, 4
"What does the status code 201 stand for?","CREATED", 3, false, false, 1, 4
"What does the status code 422 stand for?","UNPROCESSABLE ENTITY", 4, false, false, 1, 4
"What does the status code 401 stand for?","UNAUTHORIZED", 5, true, false, 1, 4
"What does CRUD stand for?","Create, Read, Update, Delete", 1, false, false, 1, 5
"What are the CRUD commands in relation to HTTP?","POST, GET, PUT, DELETE", 2, false, false, 1, 5
"What are valid values for a forms method attribute?","GET and POST", 3, false, false, 1, 5
"What are the CRUD commands in relation to SQL?","INSERT, SELECT, UPDATE, DELETE", 4, false, false, 1, 5
"Which CRUD actions should redirect a user (vs render)","Create, Update, Delete / POST, PUT, DELETE", 5, false, false, 1, 5
"What does HTML stand for?","Hypertext Markup Language", 1, false, false, 1, 6
"What does HTTP stand for?","Hypertext Transfer Protocol", 2, false, false, 1, 6
"What does SQL stand for?","Structured Query Language", 3, false, false, 1, 6
"What does JSON stand for?","JavaScript Object Notation", 4, false, false, 1, 6
"What does API stand for?","Application Program Interface", 5, false, false, 1, 6
